report_id,date,quality_ground_truth,requires_clarification,language,products_reported,product_names,ambiguous_products,true_units_used,true_closing_stock
SR000229,2026-04-17,messy,False,he,P033 | P038 | P007 | P002,Aperol | House Red Wine | Stella Artois | Heineken,,P033=3.9 | P038=4.4 | P007=9.0 | P002=18.0,P033=16.5 | P038=19.0 | P007=38.4 | P002=21.6
SR000230,2026-04-18,messy,False,he,P038 | P034 | P031 | P004,House Red Wine | Campari | Patron Silver | Guinness,,P038=3.9 | P034=1.0 | P031=2.0 | P004=8.0,P038=15.1 | P034=3.5 | P031=7.7 | P004=24.6
SR000231,2026-04-19,ambiguous,True,en,P003 | P007 | P008 | P038,Corona | Stella Artois | Erdinger | House Red Wine,P008,P003=3.0 | P007=1.0 | P008=2.0 | P038=1.2,P003=49.2 | P007=50.4 | P008=32.2 | P038=13.8
SR000232,2026-04-20,good,False,he,P025 | P014 | P039 | P005,Bacardi Carta Blanca | Absolut | House White Wine | Goldstar,,P025=1.4 | P014=1.2 | P039=2.0 | P005=6.0,P025=10.3 | P014=14.6 | P039=9.5 | P005=52.6
SR000233,2026-04-21,good,False,en,P003 | P025 | P001,Corona | Bacardi Carta Blanca | Carlsberg,,P003=4.0 | P025=1.6 | P001=7.0,P003=39.2 | P025=20.7 | P001=52.4
SR000234,2026-04-22,messy,False,he,P025 | P033 | P004 | P001,Bacardi Carta Blanca | Aperol | Guinness | Carlsberg,,P025=1.2 | P033=1.1 | P004=3.0 | P001=8.0,P025=19.5 | P033=19.7 | P004=36.6 | P001=68.4
SR000235,2026-04-23,messy,False,he,P041 | P011 | P035 | P039,Prosecco | Hendrick's | Cointreau | House White Wine,,P041=4.4 | P011=0.8 | P035=0.9 | P039=3.2,P041=22.5 | P011=10.9 | P035=3.8 | P039=14.6
SR000236,2026-04-24,messy,False,en,P006 | P041 | P039 | P007 | P013,Maccabee | Prosecco | House White Wine | Stella Artois | Gordon's,,P006=9.0 | P041=6.1 | P039=4.6 | P007=9.0 | P013=2.6,P006=20.0 | P041=28.4 | P039=22.0 | P007=26.4 | P013=17.3
SR000237,2026-04-25,good,False,he,P039 | P002 | P033 | P003,House White Wine | Heineken | Aperol | Corona,,P039=3.7 | P002=12.0 | P033=3.3 | P003=7.0,P039=18.4 | P002=63.6 | P033=9.9 | P003=50.2
SR000238,2026-04-26,messy,False,he,P041 | P007 | P006,Prosecco | Stella Artois | Maccabee,,P041=2.2 | P007=4.0 | P006=3.0,P041=21.0 | P007=38.4 | P006=34.0
SR000239,2026-04-27,messy,False,he,P003 | P001 | P002 | P039 | P006,Corona | Carlsberg | Heineken | House White Wine | Maccabee,,P003=6.0 | P001=6.0 | P002=6.0 | P039=1.7 | P006=2.0,P003=38.2 | P001=59.4 | P002=50.6 | P039=14.9 | P006=32.0
SR000240,2026-04-28,good,False,he,P005 | P002 | P001 | P004,Goldstar | Heineken | Carlsberg | Guinness,,P005=3.0 | P002=8.0 | P001=6.0 | P004=2.0,P005=36.6 | P002=42.6 | P001=53.4 | P004=39.6
SR000241,2026-04-29,messy,False,he,P002 | P001 | P005 | K003 | P008,Heineken | Carlsberg | Goldstar | Carlsberg 30L | Erdinger,,P002=7.0 | P001=11.0 | P005=8.0 | K003=0.8 | P008=2.0,P002=35.6 | P001=66.4 | P005=52.6 | K003=6.5 | P008=27.2
SR000242,2026-04-30,messy,False,he,P001 | P004 | P014 | P006,Carlsberg | Guinness | Absolut | Maccabee,,P001=13.0 | P004=5.0 | P014=1.3 | P006=6.0,P001=53.4 | P004=31.6 | P014=13.8 | P006=43.0
SR000243,2026-05-01,good,False,en,P014 | P008 | P040 | P005,Absolut | Erdinger | Rose Wine | Goldstar,,P014=2.6 | P008=6.0 | P040=1.8 | P005=20.0,P014=11.1 | P008=18.2 | P040=11.0 | P005=21.6
SR000244,2026-05-02,good,False,he,P001 | P031 | P005,Carlsberg | Patron Silver | Goldstar,,P001=23.0 | P031=2.5 | P005=15.0,P001=55.4 | P031=14.0 | P005=54.6
SR000245,2026-05-03,good,False,he,P004 | P001 | P014 | P003,Guinness | Carlsberg | Absolut | Corona,,P004=4.0 | P001=14.0 | P014=1.2 | P003=10.0,P004=35.6 | P001=41.4 | P014=7.3 | P003=27.2
SR000246,2026-05-04,good,False,he,P038 | P003 | P001 | P013,House Red Wine | Corona | Carlsberg | Gordon's,,P038=1.5 | P003=7.0 | P001=2.0 | P013=0.9,P038=14.7 | P003=20.2 | P001=39.4 | P013=12.5
SR000247,2026-05-05,good,False,he,P004 | P002 | P001 | P007 | P006,Guinness | Heineken | Carlsberg | Stella Artois | Maccabee,,P004=2.0 | P002=4.0 | P001=8.0 | P007=4.0 | P006=4.0,P004=32.6 | P002=41.6 | P001=31.4 | P007=32.4 | P006=10.0
SR000248,2026-05-06,good,False,en,P008 | P002 | P033,Erdinger | Heineken | Aperol,,P008=3.0 | P002=4.0 | P033=1.3,P008=28.2 | P002=61.6 | P033=24.1
SR000249,2026-05-07,messy,False,en,P007 | P002 | P006 | P004 | P035,Stella Artois | Heineken | Maccabee | Guinness | Cointreau,,P007=9.0 | P002=10.0 | P006=8.0 | P004=6.0 | P035=0.9,P007=42.4 | P002=51.6 | P006=23.0 | P004=24.6 | P035=7.4
SR000250,2026-05-08,messy,False,he,P033 | P003 | P040 | P002,Aperol | Corona | Rose Wine | Heineken,,P033=2.8 | P003=9.0 | P040=1.4 | P002=13.0,P033=17.9 | P003=37.2 | P040=16.2 | P002=38.6
SR000251,2026-05-09,good,False,he,P004 | P014 | P007 | P041,Guinness | Absolut | Stella Artois | Prosecco,,P004=6.0 | P014=2.3 | P007=10.0 | P041=5.8,P004=37.6 | P014=10.6 | P007=50.4 | P041=20.9
SR000252,2026-05-10,good,False,he,P025 | P013 | P003,Bacardi Carta Blanca | Gordon's | Corona,,P025=1.8 | P013=1.5 | P003=6.0,P025=8.7 | P013=14.3 | P003=41.2
SR000253,2026-05-11,messy,False,he,P007 | P001 | P002 | P033,Stella Artois | Carlsberg | Heineken | Aperol,,P007=2.0 | P001=6.0 | P002=8.0 | P033=1.9,P007=44.4 | P001=37.4 | P002=34.6 | P033=11.6
SR000254,2026-05-12,messy,False,he,P001 | P004 | P033 | P005 | P025,Carlsberg | Guinness | Aperol | Goldstar | Bacardi Carta Blanca,,P001=10.0 | P004=2.0 | P033=0.9 | P005=5.0 | P025=1.3,P001=27.4 | P004=28.6 | P033=22.7 | P005=26.6 | P025=17.9
SR000255,2026-05-13,good,False,he,P013 | P033 | P025 | P008 | P002,Gordon's | Aperol | Bacardi Carta Blanca | Erdinger | Heineken,,P013=1.3 | P033=1.8 | P025=2.5 | P008=3.0 | P002=7.0,P013=10.7 | P033=20.9 | P025=15.5 | P008=31.2 | P002=26.6
SR000256,2026-05-14,good,False,he,P001 | P003 | P013 | P039,Carlsberg | Corona | Gordon's | House White Wine,,P001=16.0 | P003=11.0 | P013=2.2 | P039=2.9,P001=49.4 | P003=34.2 | P013=8.5 | P039=19.5
SR000257,2026-05-15,good,False,en,P008 | P041 | P031 | P035,Erdinger | Prosecco | Patron Silver | Cointreau,,P008=5.0 | P041=5.1 | P031=1.9 | P035=0.9,P008=21.2 | P041=12.9 | P031=10.6 | P035=14.1
SR000258,2026-05-16,messy,False,he,P002 | P033 | P005,Heineken | Aperol | Goldstar,,P002=13.0 | P033=3.3 | P005=14.0,P002=61.6 | P033=11.2 | P005=52.6
SR000259,2026-05-17,messy,False,en,P008 | P033 | P005,Erdinger | Aperol | Goldstar,,P008=2.0 | P033=1.4 | P005=6.0,P008=38.2 | P033=9.9 | P005=46.6
SR000260,2026-05-18,good,False,he,P001 | P005 | P006,Carlsberg | Goldstar | Maccabee,,P001=5.0 | P005=5.0 | P006=2.0,P001=51.4 | P005=41.6 | P006=42.0
SR000261,2026-05-19,good,False,he,P006 | P007 | P003 | P005 | P008,Maccabee | Stella Artois | Corona | Goldstar | Erdinger,,P006=2.0 | P007=4.0 | P003=6.0 | P005=9.0 | P008=2.0,P006=40.0 | P007=44.4 | P003=42.2 | P005=32.6 | P008=34.2
SR000262,2026-05-20,good,False,en,P003 | P002 | P025 | P041,Corona | Heineken | Bacardi Carta Blanca | Prosecco,,P003=6.0 | P002=7.0 | P025=2.0 | P041=3.1,P003=60.2 | P002=65.6 | P025=12.5 | P041=22.3
SR000263,2026-05-21,messy,False,en,P038 | P003 | P039 | P008,House Red Wine | Corona | House White Wine | Erdinger,,P038=2.9 | P003=9.0 | P039=2.7 | P008=4.0,P038=13.9 | P003=51.2 | P039=16.6 | P008=28.2
SR000264,2026-05-22,ambiguous,True,he,P041 | P002 | P006 | P004 | P031,Prosecco | Heineken | Maccabee | Guinness | Patron Silver,P002,P041=7.1 | P002=16.0 | P006=9.0 | P004=7.0 | P031=2.4,P041=23.5 | P002=41.6 | P006=22.0 | P004=34.6 | P031=13.9
SR000265,2026-05-23,ambiguous,True,en,P008 | P002 | P005 | P003,Erdinger | Heineken | Goldstar | Corona,P003,P008=3.0 | P002=11.0 | P005=12.0 | P003=10.0,P008=19.2 | P002=54.6 | P005=59.6 | P003=50.2
SR000266,2026-05-24,good,False,he,P025 | P039 | P007,Bacardi Carta Blanca | House White Wine | Stella Artois,,P025=1.6 | P039=1.5 | P007=3.0,P025=13.4 | P039=19.6 | P007=36.4
SR000267,2026-05-25,good,False,en,P007 | P008 | P006,Stella Artois | Erdinger | Maccabee,,P007=3.0 | P008=1.0 | P006=2.0,P007=33.4 | P008=16.2 | P006=37.0
SR000268,2026-05-26,messy,False,he,P038 | P014 | P003 | P008 | P002,House Red Wine | Absolut | Corona | Erdinger | Heineken,,P038=1.0 | P014=0.9 | P003=7.0 | P008=1.0 | P002=5.0,P038=15.1 | P014=11.3 | P003=34.2 | P008=15.2 | P002=34.6
SR000269,2026-05-27,good,False,en,P006 | P008 | P004 | P007,Maccabee | Erdinger | Guinness | Stella Artois,,P006=5.0 | P008=3.0 | P004=3.0 | P007=5.0,P006=30.0 | P008=36.2 | P004=21.6 | P007=48.4
SR000270,2026-05-28,messy,False,en,P014 | P013 | P002,Absolut | Gordon's | Heineken,,P014=1.5 | P013=2.1 | P002=11.0,P014=8.6 | P013=10.0 | P002=38.6
SR000271,2026-05-29,good,False,he,P033 | P007 | P019 | P004 | P041,Aperol | Stella Artois | Jameson | Guinness | Prosecco,,P033=2.9 | P007=8.0 | P019=0.9 | P004=6.0 | P041=4.8,P033=21.7 | P007=32.4 | P019=17.7 | P004=11.6 | P041=14.8
SR000272,2026-05-30,messy,False,he,P014 | P008 | P005 | P003,Absolut | Erdinger | Goldstar | Corona,,P014=1.5 | P008=4.0 | P005=9.0 | P003=8.0,P014=16.9 | P008=25.2 | P005=52.6 | P003=49.2
SR000273,2026-05-31,good,False,he,P007 | P001 | P002 | K003 | P005,Stella Artois | Carlsberg | Heineken | Carlsberg 30L | Goldstar,,P007=6.0 | P001=10.0 | P002=7.0 | K003=0.8 | P005=10.0,P007=43.4 | P001=52.4 | P002=57.6 | K003=5.6 | P005=42.6
SR000274,2026-06-01,messy,False,he,P004 | P001 | P007 | P038 | P006,Guinness | Carlsberg | Stella Artois | House Red Wine | Maccabee,,P004=1.0 | P001=4.0 | P007=3.0 | P038=2.0 | P006=3.0,P004=53.6 | P001=48.4 | P007=40.4 | P038=12.0 | P006=30.0
SR000275,2026-06-02,good,False,en,P014 | P001 | P041 | P033,Absolut | Carlsberg | Prosecco | Aperol,,P014=0.8 | P001=6.0 | P041=1.9 | P033=1.2,P014=13.7 | P001=42.4 | P041=28.6 | P033=15.5
SR000276,2026-06-03,good,False,he,P001 | P002 | P005 | P025,Carlsberg | Heineken | Goldstar | Bacardi Carta Blanca,,P001=8.0 | P002=3.0 | P005=8.0 | P025=1.1,P001=34.4 | P002=63.6 | P005=70.6 | P025=18.3
SR000277,2026-06-04,good,False,en,P001 | P038 | P005 | P040,Carlsberg | House Red Wine | Goldstar | Rose Wine,,P001=16.0 | P038=3.7 | P005=14.0 | P040=1.8,P001=18.4 | P038=16.9 | P005=56.6 | P040=15.8
SR000278,2026-06-05,messy,False,he,P036 | P003 | P004,Kahlua | Corona | Guinness,,P036=0.9 | P003=14.0 | P004=7.0,P036=11.3 | P003=25.2 | P004=35.6
SR000279,2026-06-06,good,False,he,K003 | P029 | P033 | P038,Carlsberg 30L | Jose Cuervo | Aperol | House Red Wine,,K003=1.5 | P029=1.0 | P033=3.9 | P038=4.6,K003=5.3 | P029=10.5 | P033=15.1 | P038=7.4
SR000280,2026-06-07,messy,False,he,P014 | P025 | P002 | P005 | P004,Absolut | Bacardi Carta Blanca | Heineken | Goldstar | Guinness,,P014=1.4 | P025=1.6 | P002=7.0 | P005=5.0 | P004=3.0,P014=14.4 | P025=16.1 | P002=35.6 | P005=45.6 | P004=24.6
SR000281,2026-06-08,messy,False,en,P003 | P004 | P033 | P007 | P008,Corona | Guinness | Aperol | Stella Artois | Erdinger,,P003=7.0 | P004=3.0 | P033=1.9 | P007=7.0 | P008=3.0,P003=42.2 | P004=21.6 | P033=11.6 | P007=34.4 | P008=20.2
SR000282,2026-06-09,messy,False,en,P041 | P004 | P031,Prosecco | Guinness | Patron Silver,,P041=2.6 | P004=4.0 | P031=1.4,P041=12.6 | P004=17.6 | P031=15.5
SR000283,2026-06-10,messy,False,he,P004 | P008 | P001 | P007 | P038,Guinness | Erdinger | Carlsberg | Stella Artois | House Red Wine,,P004=3.0 | P008=2.0 | P001=8.0 | P007=7.0 | P038=1.5,P004=38.6 | P008=39.2 | P001=73.4 | P007=46.4 | P038=24.1
SR000284,2026-06-11,good,False,he,P006 | P042 | P008 | P040,Maccabee | Chardonnay | Erdinger | Rose Wine,,P006=7.0 | P042=1.0 | P008=4.0 | P040=1.4,P006=45.0 | P042=4.6 | P008=35.2 | P040=6.8
SR000285,2026-06-12,good,False,en,P005 | P019 | P004 | P033,Goldstar | Jameson | Guinness | Aperol,,P005=16.0 | P019=1.1 | P004=7.0 | P033=3.3,P005=42.6 | P019=5.2 | P004=26.6 | P033=14.5
SR000286,2026-06-13,ambiguous,True,en,P014 | P025 | P035,Absolut | Bacardi Carta Blanca | Cointreau,P025,P014=2.5 | P025=3.0 | P035=0.9,P014=14.6 | P025=12.5 | P035=7.5
SR000287,2026-06-14,good,False,he,P038 | P002 | P003,House Red Wine | Heineken | Corona,,P038=3.2 | P002=12.0 | P003=11.0,P038=11.9 | P002=32.6 | P003=33.2
SR000288,2026-06-15,good,False,en,P031 | P039 | P001 | P007,Patron Silver | House White Wine | Carlsberg | Stella Artois,,P031=1.2 | P039=2.9 | P001=12.0 | P007=6.0,P031=5.2 | P039=8.5 | P001=48.4 | P007=34.4
SR000289,2026-06-16,good,False,he,P002 | P007 | P001 | P034,Heineken | Stella Artois | Carlsberg | Campari,,P002=14.0 | P007=8.0 | P001=18.0 | P034=0.8,P002=9.6 | P007=26.4 | P001=30.4 | P034=12.2
SR000290,2026-06-17,messy,False,he,P007 | P038 | P039,Stella Artois | House Red Wine | House White Wine,,P007=7.0 | P038=2.4 | P039=2.7,P007=43.4 | P038=17.5 | P039=13.7
SR000291,2026-06-18,good,False,he,P006 | P005 | P019 | P007,Maccabee | Goldstar | Jameson | Stella Artois,,P006=3.0 | P005=10.0 | P019=0.9 | P007=8.0,P006=27.0 | P005=49.6 | P019=12.5 | P007=35.4
SR000292,2026-06-19,messy,False,en,P006 | P008 | P038 | P040,Maccabee | Erdinger | House Red Wine | Rose Wine,,P006=11.0 | P008=6.0 | P038=4.4 | P040=1.6,P006=16.0 | P008=28.2 | P038=22.5 | P040=8.8
SR000293,2026-06-20,good,False,en,P007 | P004 | P006 | P003,Stella Artois | Guinness | Maccabee | Corona,,P007=8.0 | P004=6.0 | P006=8.0 | P003=13.0,P007=39.4 | P004=32.6 | P006=32.0 | P003=15.2
